InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue
I1C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.000000, 143.16
I1C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.08, 157.99
I1C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.08, 143.16
I1C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.10, 157.99
I1C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.10, 143.16
I1C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3800.0, 157.99
I1C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3800.0, 143.16
I2C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.300000, 218.97
I2C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.300000, 215.96
I2C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.08, 218.97
I2C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.08, 215.96
I2C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.4, 218.97
I2C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.4, 215.96
I2C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3800.0, 218.97
I2C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3800.0, 215.96
I2C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.300000, 215.63
I2C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.300000, 212.19
I2C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.08, 215.63
I2C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.08, 212.19
I2C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.4, 215.63
I2C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.4, 212.19
I2C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3800.0, 215.63
I2C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3800.0, 212.19
I3C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.200000, 222.80
I3C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.200000, 211.07
I3C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.07, 222.80
I3C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.07, 211.07
I3C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.3, 222.80
I3C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.3, 211.07
I3C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3500.0, 222.80
I3C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3500.0, 211.07
I3C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.200000, 226.23
I3C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.200000, 214.71
I3C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.07, 226.23
I3C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.07, 214.71
I3C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.3, 226.23
I3C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.3, 214.71
I3C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3500.0, 226.23
I3C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3500.0, 214.71
I4C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.100000, 190.40
I4C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.100000, 185.27
I4C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.04, 190.40
I4C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.04, 185.27
I4C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.2, 190.40
I4C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.2, 185.27
I4C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2500, 190.40
I4C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2500, 185.27
I4C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.100000, 190.40
I4C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.100000, 185.27
I4C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.04, 190.40
I4C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.04, 185.27
I4C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.2, 190.40
I4C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.2, 185.27
I4C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2500, 190.40
I4C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2500, 185.27
I5C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.100000, 182.71
I5C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.100000, 173.82
I5C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.028, 182.71
I5C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.028, 173.82
I5C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.2, 182.71
I5C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.2, 173.82
I5C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3500.0, 182.71
I5C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3500.0, 173.82
I5C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 1.100000, 182.71
I5C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 1.100000, 173.82
I5C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.028, 182.71
I5C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.028, 173.82
I5C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.2, 182.71
I5C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.2, 173.82
I5C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3500.0, 182.71
I5C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3500.0, 173.82
I6C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.200000, 256.83
